typus,et,note,compare,result
5336,none,,#VALUE!,#VALUE!
5335,none,,#VALUE!,#VALUE!
5334,none,,#VALUE!,#VALUE!
5333,none,,#VALUE!,#VALUE!
5332,none,,#VALUE!,#VALUE!
5331,none,,#VALUE!,#VALUE!
5330,none,,#VALUE!,#VALUE!
5329,none,,#VALUE!,#VALUE!
5328,none,,#VALUE!,#VALUE!
5327,none,,#VALUE!,#VALUE!
5326,none,,#VALUE!,#VALUE!
5325,none,,#VALUE!,#VALUE!
5324,none,,#VALUE!,#VALUE!
5323,none,,#VALUE!,#VALUE!
5322,none,,#VALUE!,#VALUE!
5321,none,,#VALUE!,#VALUE!
5320,none,,#VALUE!,#VALUE!
5319,none,,#VALUE!,#VALUE!
5318,none,,#VALUE!,#VALUE!
5317,none,,#VALUE!,#VALUE!
5316,none,,#VALUE!,#VALUE!
5315,none,,#VALUE!,#VALUE!
5314,none,,#VALUE!,#VALUE!
5313,none,,#VALUE!,#VALUE!
5312,none,,#VALUE!,#VALUE!
5311,none,,#VALUE!,#VALUE!
5310,none,,#VALUE!,#VALUE!
5309,none,,#VALUE!,#VALUE!
5308,none,,#VALUE!,#VALUE!
5307,none,,#VALUE!,#VALUE!
5306,none,,#VALUE!,#VALUE!
5305,none,,#VALUE!,#VALUE!
5304,none,,#VALUE!,#VALUE!
5303,none,,#VALUE!,#VALUE!
5302,none,,#VALUE!,#VALUE!
5301,none,,#VALUE!,#VALUE!
5300,none,,#VALUE!,#VALUE!
5299,none,,#VALUE!,#VALUE!
5298,none,,#VALUE!,#VALUE!
5297,none,,#VALUE!,#VALUE!
5296,none,,#VALUE!,#VALUE!
5295,none,,#VALUE!,#VALUE!
5294,none,,#VALUE!,#VALUE!
5293,none,,#VALUE!,#VALUE!
5292,none,,#VALUE!,#VALUE!
5291,none,,#VALUE!,#VALUE!
5290,none,,#VALUE!,#VALUE!
5289,none,,#VALUE!,#VALUE!
5288,none,,#VALUE!,#VALUE!
5287,none,,#VALUE!,#VALUE!
5286,none,,#VALUE!,#VALUE!
5285,none,,#VALUE!,#VALUE!
5284,none,,#VALUE!,#VALUE!
5283,none,,#VALUE!,#VALUE!
5282,none,,#VALUE!,#VALUE!
5281,none,,#VALUE!,#VALUE!
5280,none,,#VALUE!,#VALUE!
5279,none,,#VALUE!,#VALUE!
5278,none,,#VALUE!,#VALUE!
5277,none,,#VALUE!,#VALUE!
5276,none,,#VALUE!,#VALUE!
5275,none,,#VALUE!,#VALUE!
5274,none,,#VALUE!,#VALUE!
5273,none,,#VALUE!,#VALUE!
5272,none,,#VALUE!,#VALUE!
5271,none,,#VALUE!,#VALUE!
5270,none,,#VALUE!,#VALUE!
5269,none,,#VALUE!,#VALUE!
5268,none,,#VALUE!,#VALUE!
5267,none,,#VALUE!,#VALUE!
5266,none,,#VALUE!,#VALUE!
5265,none,,#VALUE!,#VALUE!
5264,none,,#VALUE!,#VALUE!
5263,none,,#VALUE!,#VALUE!
5262,none,,#VALUE!,#VALUE!
5261,none,,#VALUE!,#VALUE!
5260,none,,#VALUE!,#VALUE!
5259,none,,#VALUE!,#VALUE!
5258,none,,#VALUE!,#VALUE!
5257,none,,#VALUE!,#VALUE!
5256,none,,#VALUE!,#VALUE!
5255,none,,#VALUE!,#VALUE!
5254,none,,#VALUE!,#VALUE!
5253,none,,#VALUE!,#VALUE!
5252,none,,#VALUE!,#VALUE!
5251,none,,#VALUE!,#VALUE!
5250,none,,#VALUE!,#VALUE!
5249,none,,#VALUE!,#VALUE!
5248,none,,#VALUE!,#VALUE!
5247,none,,#VALUE!,#VALUE!
5246,none,,#VALUE!,#VALUE!
5245,none,,#VALUE!,#VALUE!
5244,none,,#VALUE!,#VALUE!
5243,none,,#VALUE!,#VALUE!
5242,none,,#VALUE!,#VALUE!
5241,none,,#VALUE!,#VALUE!
5240,none,,#VALUE!,#VALUE!
5239,none,,#VALUE!,#VALUE!
5238,none,,#VALUE!,#VALUE!
5237,none,,#VALUE!,#VALUE!
5236,none,,#VALUE!,#VALUE!
5235,none,,#VALUE!,#VALUE!
5234,none,,#VALUE!,#VALUE!
5233,none,,#VALUE!,#VALUE!
5232,none,,#VALUE!,#VALUE!
5231,none,,#VALUE!,#VALUE!
5230,none,,#VALUE!,#VALUE!
5229,none,,#VALUE!,#VALUE!
5228,none,,#VALUE!,#VALUE!
5227,none,,#VALUE!,#VALUE!
5226,none,,#VALUE!,#VALUE!
5225,none,,#VALUE!,#VALUE!
5224,none,,#VALUE!,#VALUE!
5223,none,,#VALUE!,#VALUE!
5222,none,,#VALUE!,#VALUE!
5221,none,,#VALUE!,#VALUE!
5220,none,,#VALUE!,#VALUE!
5219,none,,#VALUE!,#VALUE!
5218,none,,#VALUE!,#VALUE!
5217,none,,#VALUE!,#VALUE!
5216,none,,#VALUE!,#VALUE!
5215,none,,#VALUE!,#VALUE!
5214,none,,#VALUE!,#VALUE!
5213,none,,#VALUE!,#VALUE!
5212,none,,#VALUE!,#VALUE!
5211,none,,#VALUE!,#VALUE!
5210,none,,#VALUE!,#VALUE!
5209,none,,#VALUE!,#VALUE!
5208,none,,#VALUE!,#VALUE!
5207,none,,#VALUE!,#VALUE!
5206,none,,#VALUE!,#VALUE!
5205,none,,#VALUE!,#VALUE!
5204,none,,#VALUE!,#VALUE!
5203,none,,#VALUE!,#VALUE!
5202,none,,#VALUE!,#VALUE!
5201,none,,#VALUE!,#VALUE!
5200,none,,#VALUE!,#VALUE!
5199,none,,#VALUE!,#VALUE!
5198,none,,#VALUE!,#VALUE!
5197,none,,#VALUE!,#VALUE!
5196,none,,#VALUE!,#VALUE!
5195,none,,#VALUE!,#VALUE!
5194,none,,#VALUE!,#VALUE!
5193,none,,#VALUE!,#VALUE!
5192,none,,#VALUE!,#VALUE!
5191,none,,#VALUE!,#VALUE!
5190,none,,#VALUE!,#VALUE!
5189,none,,#VALUE!,#VALUE!
5188,none,,#VALUE!,#VALUE!
5187,none,,#VALUE!,#VALUE!
5186,none,,#VALUE!,#VALUE!
5185,none,,#VALUE!,#VALUE!
5184,none,,#VALUE!,#VALUE!
5183,none,,#VALUE!,#VALUE!
5182,none,,#VALUE!,#VALUE!
5181,none,,#VALUE!,#VALUE!
5180,none,,#VALUE!,#VALUE!
5179,none,,#VALUE!,#VALUE!
5178,none,,#VALUE!,#VALUE!
5177,none,,#VALUE!,#VALUE!
5176,none,,#VALUE!,#VALUE!
5175,none,,#VALUE!,#VALUE!
5174,none,,#VALUE!,#VALUE!
5173,none,,#VALUE!,#VALUE!
5172,none,,#VALUE!,#VALUE!
5171,none,,#VALUE!,#VALUE!
5170,none,,#VALUE!,#VALUE!
5169,none,,#VALUE!,#VALUE!
5168,none,,#VALUE!,#VALUE!
5167,none,,#VALUE!,#VALUE!
5166,none,,#VALUE!,#VALUE!
5165,none,,#VALUE!,#VALUE!
5164,none,,#VALUE!,#VALUE!
5163,none,,#VALUE!,#VALUE!
5162,none,,#VALUE!,#VALUE!
5161,none,,#VALUE!,#VALUE!
5160,none,,#VALUE!,#VALUE!
5159,none,,#VALUE!,#VALUE!
5158,none,,#VALUE!,#VALUE!
5157,none,,#VALUE!,#VALUE!
5156,none,,#VALUE!,#VALUE!
5155,none,,#VALUE!,#VALUE!
5154,none,,#VALUE!,#VALUE!
5153,none,,#VALUE!,#VALUE!
5152,none,,#VALUE!,#VALUE!
5151,none,,#VALUE!,#VALUE!
5150,none,,#VALUE!,#VALUE!
5149,none,,#VALUE!,#VALUE!
5148,none,,#VALUE!,#VALUE!
5147,none,,#VALUE!,#VALUE!
5146,none,,#VALUE!,#VALUE!
5145,none,,#VALUE!,#VALUE!
5144,none,,#VALUE!,#VALUE!
5143,none,,#VALUE!,#VALUE!
5142,none,,#VALUE!,#VALUE!
5141,none,,#VALUE!,#VALUE!
5140,none,,#VALUE!,#VALUE!
5139,none,,#VALUE!,#VALUE!
5138,none,,#VALUE!,#VALUE!
5137,none,,#VALUE!,#VALUE!
5136,none,,#VALUE!,#VALUE!
5135,none,,#VALUE!,#VALUE!
5134,none,,#VALUE!,#VALUE!
5133,none,,#VALUE!,#VALUE!
5132,none,,#VALUE!,#VALUE!
5131,none,,#VALUE!,#VALUE!
5130,none,,#VALUE!,#VALUE!
5129,none,,#VALUE!,#VALUE!
5128,none,,#VALUE!,#VALUE!
5127,none,,#VALUE!,#VALUE!
5126,none,,#VALUE!,#VALUE!
5125,none,,#VALUE!,#VALUE!
5124,none,,#VALUE!,#VALUE!
5123,none,,#VALUE!,#VALUE!
5122,none,,#VALUE!,#VALUE!
5121,none,,#VALUE!,#VALUE!
5120,none,,#VALUE!,#VALUE!
5119,none,,#VALUE!,#VALUE!
5118,none,,#VALUE!,#VALUE!
5117,none,,#VALUE!,#VALUE!
5116,none,,#VALUE!,#VALUE!
5115,none,,#VALUE!,#VALUE!
5114,none,,#VALUE!,#VALUE!
5113,none,,#VALUE!,#VALUE!
5112,none,,#VALUE!,#VALUE!
5111,none,,#VALUE!,#VALUE!
5110,none,,#VALUE!,#VALUE!
5109,none,,#VALUE!,#VALUE!
5108,none,,#VALUE!,#VALUE!
5107,none,,#VALUE!,#VALUE!
5106,none,,#VALUE!,#VALUE!
5105,none,,#VALUE!,#VALUE!
5104,none,,#VALUE!,#VALUE!
5103,none,,#VALUE!,#VALUE!
5102,none,,#VALUE!,#VALUE!
5101,none,,#VALUE!,#VALUE!
5100,none,,#VALUE!,#VALUE!
5099,none,,#VALUE!,#VALUE!
5098,none,,#VALUE!,#VALUE!
5097,none,,#VALUE!,#VALUE!
5096,none,,#VALUE!,#VALUE!
5095,none,,#VALUE!,#VALUE!
5094,none,,#VALUE!,#VALUE!
5093,none,,#VALUE!,#VALUE!
5092,none,,#VALUE!,#VALUE!
5091,none,,#VALUE!,#VALUE!
5090,none,,#VALUE!,#VALUE!
5089,none,,#VALUE!,#VALUE!
5088,none,,#VALUE!,#VALUE!
5087,none,,#VALUE!,#VALUE!
5086,none,,#VALUE!,#VALUE!
5085,none,,#VALUE!,#VALUE!
5084,none,,#VALUE!,#VALUE!
5083,none,,#VALUE!,#VALUE!
5082,none,,#VALUE!,#VALUE!
5081,none,,#VALUE!,#VALUE!
5080,none,,#VALUE!,#VALUE!
5079,none,,#VALUE!,#VALUE!
5078,none,,#VALUE!,#VALUE!
5077,none,,#VALUE!,#VALUE!
5076,none,,#VALUE!,#VALUE!
5075,none,,#VALUE!,#VALUE!
5074,none,,#VALUE!,#VALUE!
5073,none,,#VALUE!,#VALUE!
5072,none,,#VALUE!,#VALUE!
5071,none,,#VALUE!,#VALUE!
5070,none,,#VALUE!,#VALUE!
5069,none,,#VALUE!,#VALUE!
5068,none,,#VALUE!,#VALUE!
5067,none,,#VALUE!,#VALUE!
5066,none,,#VALUE!,#VALUE!
5065,none,,#VALUE!,#VALUE!
5064,none,,#VALUE!,#VALUE!
5063,none,,#VALUE!,#VALUE!
5062,none,,#VALUE!,#VALUE!
5061,none,,#VALUE!,#VALUE!
5060,none,,#VALUE!,#VALUE!
5059,none,,#VALUE!,#VALUE!
5058,none,,#VALUE!,#VALUE!
5057,none,,#VALUE!,#VALUE!
5056,none,,#VALUE!,#VALUE!
5055,none,,#VALUE!,#VALUE!
5054,none,,#VALUE!,#VALUE!
5053,none,,#VALUE!,#VALUE!
5052,none,,#VALUE!,#VALUE!
5051,none,,#VALUE!,#VALUE!
5050,none,,#VALUE!,#VALUE!
5049,none,,#VALUE!,#VALUE!
5048,none,,#VALUE!,#VALUE!
5047,none,,#VALUE!,#VALUE!
5046,none,,#VALUE!,#VALUE!
5045,none,,#VALUE!,#VALUE!
5044,none,,#VALUE!,#VALUE!
5043,none,,#VALUE!,#VALUE!
5042,none,,#VALUE!,#VALUE!
5041,none,,#VALUE!,#VALUE!
5040,none,,#VALUE!,#VALUE!
5039,none,,#VALUE!,#VALUE!
5038,none,,#VALUE!,#VALUE!
5037,none,,#VALUE!,#VALUE!
5036,none,,#VALUE!,#VALUE!
5035,none,,#VALUE!,#VALUE!
5034,none,,#VALUE!,#VALUE!
5033,none,,#VALUE!,#VALUE!
5032,none,,#VALUE!,#VALUE!
5031,none,,#VALUE!,#VALUE!
5030,none,,#VALUE!,#VALUE!
5029,none,,#VALUE!,#VALUE!
5028,none,,#VALUE!,#VALUE!
5027,none,,#VALUE!,#VALUE!
5026,none,,#VALUE!,#VALUE!
5025,none,,#VALUE!,#VALUE!
5024,none,,#VALUE!,#VALUE!
5023,none,,#VALUE!,#VALUE!
5022,none,,#VALUE!,#VALUE!
5021,none,,#VALUE!,#VALUE!
5020,none,,#VALUE!,#VALUE!
5019,none,,#VALUE!,#VALUE!
5018,none,,#VALUE!,#VALUE!
5017,none,,#VALUE!,#VALUE!
5016,none,,#VALUE!,#VALUE!
5015,none,,#VALUE!,#VALUE!
5014,none,,#VALUE!,#VALUE!
5013,none,,#VALUE!,#VALUE!
5012,none,,#VALUE!,#VALUE!
5011,3276,,1735,FALSE
5010,none,,#VALUE!,#VALUE!
5009,none,,#VALUE!,#VALUE!
5008,none,,#VALUE!,#VALUE!
5007,none,,#VALUE!,#VALUE!
5006,none,,#VALUE!,#VALUE!
5005,none,,#VALUE!,#VALUE!
5004,none,,#VALUE!,#VALUE!
5003,none,,#VALUE!,#VALUE!
5002,none,,#VALUE!,#VALUE!
5001,none,,#VALUE!,#VALUE!
5000,none,,#VALUE!,#VALUE!
4999,,empty in typus,4999,FALSE
4998,,empty in typus,4998,FALSE
4997,,empty in typus,4997,FALSE
4996,,empty in typus,4996,FALSE
4995,,empty in typus,4995,FALSE
4994,,empty in typus,4994,FALSE
4993,,empty in typus,4993,FALSE
4992,,empty in typus,4992,FALSE
4991,,empty in typus,4991,FALSE
4990,,empty in typus,4990,FALSE
4989,,empty in typus,4989,FALSE
4988,,empty in typus,4988,FALSE
4987,,empty in typus,4987,FALSE
4986,,empty in typus,4986,FALSE
4985,,empty in typus,4985,FALSE
4984,,empty in typus,4984,FALSE
4983,,empty in typus,4983,FALSE
4982,,empty in typus,4982,FALSE
4981,,empty in typus,4981,FALSE
4980,,empty in typus,4980,FALSE
4979,,empty in typus,4979,FALSE
4978,,empty in typus,4978,FALSE
4977,,empty in typus,4977,FALSE
4976,,empty in typus,4976,FALSE
4975,,empty in typus,4975,FALSE
4974,,empty in typus,4974,FALSE
4973,,empty in typus,4973,FALSE
4972,,empty in typus,4972,FALSE
4971,,empty in typus,4971,FALSE
4970,,empty in typus,4970,FALSE
4969,,empty in typus,4969,FALSE
4968,,empty in typus,4968,FALSE
4967,,empty in typus,4967,FALSE
4966,,empty in typus,4966,FALSE
4965,,empty in typus,4965,FALSE
4964,,empty in typus,4964,FALSE
4963,,empty in typus,4963,FALSE
4962,,empty in typus,4962,FALSE
4961,,empty in typus,4961,FALSE
4960,,empty in typus,4960,FALSE
4959,,empty in typus,4959,FALSE
4958,,empty in typus,4958,FALSE
4957,,empty in typus,4957,FALSE
4956,,empty in typus,4956,FALSE
4955,,empty in typus,4955,FALSE
4954,,empty in typus,4954,FALSE
4953,,empty in typus,4953,FALSE
4952,,empty in typus,4952,FALSE
4951,,empty in typus,4951,FALSE
4950,,empty in typus,4950,FALSE
4949,,empty in typus,4949,FALSE
4948,,empty in typus,4948,FALSE
4947,,empty in typus,4947,FALSE
4946,,empty in typus,4946,FALSE
4945,,empty in typus,4945,FALSE
4944,,empty in typus,4944,FALSE
4943,,empty in typus,4943,FALSE
4942,,empty in typus,4942,FALSE
4941,,empty in typus,4941,FALSE
4940,,empty in typus,4940,FALSE
4939,4939,,0,TRUE
4938,4938,,0,TRUE
4937,4937,,0,TRUE
4936,4936,,0,TRUE
4935,4935,,0,TRUE
4934,4934,,0,TRUE
4933,none,solved,#VALUE!,#VALUE!
4932,none,solved,#VALUE!,#VALUE!
4931,none,solved,#VALUE!,#VALUE!
4930,none,solved,#VALUE!,#VALUE!
4929,none,solved,#VALUE!,#VALUE!
4928,none,solved,#VALUE!,#VALUE!
4927,none,solved,#VALUE!,#VALUE!
4926,none,solved,#VALUE!,#VALUE!
4925,none,solved,#VALUE!,#VALUE!
4924,none,solved,#VALUE!,#VALUE!
4923,,,4923,FALSE
4922,,,4922,FALSE
4921,,,4921,FALSE
4920,,,4920,FALSE
4919,,,4919,FALSE
4918,,,4918,FALSE
4917,,,4917,FALSE
4916,,,4916,FALSE
4915,,,4915,FALSE
4914,,,4914,FALSE
4913,,,4913,FALSE
4912,,,4912,FALSE
4911,,,4911,FALSE
4910,,,4910,FALSE
4909,,,4909,FALSE
4908,,,4908,FALSE
4907,,,4907,FALSE
4906,,,4906,FALSE
4905,,,4905,FALSE
4904,,,4904,FALSE
4903,,,4903,FALSE
4902,,,4902,FALSE
4901,,,4901,FALSE
4900,,,4900,FALSE
4899,,,4899,FALSE
4898,,,4898,FALSE
4897,,,4897,FALSE
4896,,,4896,FALSE
4895,,,4895,FALSE
4894,,,4894,FALSE
4893,,,4893,FALSE
4892,,,4892,FALSE
4891,,,4891,FALSE
